max_message_count,run,import_duration_sec,processed_tx_success
1,1,27.192,318.4808076923077
1,2,32.150,314.8912258064516
1,3,26.876,314.5502
5,1,683.374,324.6554722893082
5,2,676.950,324.47928994082844
5,3,676.294,324.47999999999996
10,1,678.160,324.4781026911334
10,2,676.585,324.47928994082844
10,3,676.196,324.47999999999996
20,1,677.992,324.4781026911334
20,2,676.978,324.47880994258884
20,3,676.499,324.47928994082844
40,1,676.440,324.47928994082844
40,2,677.376,324.47880994258884
40,3,676.450,324.47928994082844
80,1,676.792,324.47880994258884
80,2,676.236,324.47999999999996
80,3,674.319,324.48119359227536
